FESTIVAL,Location (State),Month,Description,image_path
Bhimashankar Yatra,Maharashtra,January,"<b>भिमाशंकर दर्शनाने मन आनंदित होई!</b><br>Pilgrimage to the Bhimashankar temple, one of the twelve Jyotirlingas, attracting devotees from across the state.","https://cdn1.tripoto.com/media/filter/nl/img/2380291/Image/1709706590_kumbh_mela4_1551611035.jpg.webp"
Nag Panchami,Maharashtra,July-August,"<b>नाग देवतेच्या पूजा करु, सापांचा आदर करू!</b><br>Festival honoring snakes with rituals, offerings, and worship to seek protection and blessings.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQumaRfGAzSm6gOhDevQxrmMKPWfBEGjfSTcg&s"
Tulsi Vivah,Maharashtra,October-November,"<b>तुळशी विवाहाचा शुभ मुहूर्त, मंगलमय जीवनाचा प्रारंभ!</b><br>Marriage ceremony of the Tulsi plant with Lord Vishnu’s avatar, symbolizing prosperity and spiritual harmony.","https://www.thegoan.net/uploads/news/big_62172_tulsi-vivah.jpg"
Chhatrapati Shivaji Maharaj Jayanti,Maharashtra,February,"<b>शिवाजी महाराजांची जयंत, वीरतेची गाथा!</b><br>Birth anniversary of the great Maratha king celebrated with cultural programs and patriotic fervor.","https://images.mid-day.com/images/images/2024/feb/shivajiedit1_d.jpg"
Ugadi,Andhra Pradesh,March-April,"<b>ఉగాది పండుగలో కొత్త ఆశలు, సంతోషాలు పుట్టుకొస్తాయి!</b><br>Telugu New Year celebrated with special rituals, mango leaves decorations, and traditional Ugadi Pachadi symbolizing life’s flavors.","https://i0.wp.com/www.socialnews.xyz/wp-content/uploads/2025/03/30/202503303363611.jpg?quality=80&zoom=1&ssl=1"
Sankranti,Andhra Pradesh,January,"<b>సంక్రాంతి పండుగలో సూర్యుడికి నమస్కారం, పల్లెలో ఉత్సవం!</b><br>Harvest festival marked by kite flying, bonfires, and feasts celebrating the sun's northward journey and agricultural prosperity.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcaXTJ2u12yW0oROGGq9CZwmGSLUrZSUXt2g&s"
Karthika Masam,Andhra Pradesh,November,"<b>కార్తీక మాసం పూజలు, దీపాల వెలుగులు!</b><br>Month-long festival dedicated to Lord Vishnu and Shiva, observed with lighting lamps and holy rituals at temples and homes.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfeV-JibTI8r031GX1h4OWq6s0bR5W9S7qHw&s"
Pushkaralu,Andhra Pradesh,Once every 12 years per river,"<b>పుష్కరాలులో పవిత్ర గంగ, పుణ్యస్నానం!</b><br>Special river festival celebrated every 12 years, attracting devotees for holy dips in the rivers to cleanse sins.","https://www.pilgrimagetour.in/blog/wp-content/uploads/2024/02/Pushkaram-Pushkaralu-Festival.jpg"
Bonalu,Andhra Pradesh,July-August,"<b>బోనాలు తియ్యగా, భక్తి పరవశం!</b><br>Though mainly Telangana, also observed in parts of Andhra, dedicated to Goddess Mahakali with offerings, dances, and rituals for protection and prosperity.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW-u9tvMrJ7use2y1E3tcLCoo22X3DpNeHOg&s"
Mysore Dasara,Karnataka,September-October,"<b>ಮೈಸೂರು ದಸರಾ, ವಿಜಯದ ಹಬ್ಬ!</b><br>The royal festival celebrating Goddess Chamundeshwari’s victory over evil, famous for grand processions, cultural performances, and illumination of Mysore Palace.","https://static.toiimg.com/thumb/msid-114110656,width-1280,height-720,resizemode-4/114110656.jpg"
Karaga,Karnataka,March-April,"<b>ಕಾರಾಗಾ ಹಬ್ಬ, ಸಾಂಪ್ರದಾಯಿಕ ಜಾತ್ರೆ!</b><br>Ancient folk festival dedicated to Goddess Draupadi featuring a night procession with the bearer carrying a decorated floral pyramid on the head.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXX_RU1QuFaEpde7dzC3a_dJ8v0vSfB7PpSA&s"
Hampi Festival,Karnataka,January,"<b>ಹಂಪಿ ಹಬ್ಬ, ವಿಜಯನಗರ ಸ್ಮರಣೆ!</b><br>Cultural festival celebrating the heritage of the Vijayanagara Empire with music, dance, and heritage walks in the historic ruins.","https://s7ap1.scene7.com/is/image/incredibleindia/Hampi-Utsava-fes-hero?qlt=82&ts=1726639362088"
Kambala,Karnataka,November-February,"<b>ಕಂಬಳದ ಸ್ಪರ್ಧೆ, ನೈಸರ್ಗಿಕ ಕ್ರೀಡೆ!</b><br>Traditional buffalo race held in paddy fields as thanksgiving for a good harvest and entertainment.","https://utsav.gov.in/public/uploads/event_picture_image/event_520/1657356169943929498.jpg"
Nagamandala,Karnataka,June-July,"<b>ನಾಗಮಂಡಳ, ನೃತ್ಯ ಮತ್ತು ನಾಟಕದ ಸಂಭ್ರಮ!</b><br>Folk ritualistic dance-drama dedicated to serpent worship, involving vibrant costumes and storytelling.","https://images.deccanherald.com/deccanherald/import/sites/dh/files/article_images/2020/05/19/534473-1771837520-1457979871.jpg?w=1200&h=675&auto=format%2Ccompress&fit=max&enlarge=true"
Vairamudi Festival,Karnataka,February,"<b>ವೈರಮುದಿ ಹಬ್ಬ, ದೇವರ ಔಭರಣೋತ್ಸವ!</b><br>Annual festival in Melukote where the deity Cheluvanarayana Swamy is adorned with a diamond-studded crown (Vairamudi) and grand celebrations take place.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC_gZj_lXibXPHCdiFXOFgMpuASOfAUpZldQ&s"
Pongal,Tamil Nadu,January,"<b>பொங்கலோ பொங்கல்! விதைகள் கனியாக, வாழ்வில் வளமாக!</b><br>Four-day harvest festival thanking the Sun God and cattle, celebrated with boiling the first rice of the season and decorating homes with kolams.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwf3peGTzbo5JWY3xms6gxNGuWoLUH43FzWw&s"
Thai Poosam,Tamil Nadu,January-February,"<b>கந்தா வாழ்க! பக்தியில் துளியும் சோறு போதாதே!</b><br>Dedicated to Lord Murugan, devotees carry 'kavadi' in pilgrimage and perform acts of devotion and penance.","https://media.cnn.com/api/v1/images/stellar/prod/190117115335-thaipusam-634740844.jpg?q=w_1600,h_900,x_0,y_0,c_fill"
Aadi Perukku,Tamil Nadu,July-August,"<b>ஆடி பெருக்கு வரவோ நதி வாழ்வோ!</b><br>Celebration of life and water’s abundance, observed by women offering prayers to rivers for prosperity and fertility.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2jS6AA0HYzSSCD79ZKBzEWTg_1aUZyOX_Gg&s"
Karthigai Deepam,Tamil Nadu,November-December,"<b>கார்த்திகை தீபம், ஒரு தீபம் வீடெல்லாம்!</b><br>Festival of lights where rows of oil lamps are lit in homes and temples, culminating in the lighting of the giant beacon atop Tiruvannamalai hill.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9aeJQvXvsVrZb7R1thA-iI-TLvtyXHEjztw&s"
Chithirai Festival,Tamil Nadu,April,"<b>மீனாட்சி திருக்கல்யாணம், மதுரையின் மகிழ்ச்சி!</b><br>Marks the celestial wedding of Goddess Meenakshi and Lord Sundareswarar with grand processions and temple rituals in Madurai.","https://images.news18.com/ibnlive/uploads/2022/04/m-164909656616x9.png"
Mahamaham,Tamil Nadu,March,"<b>மகாமகம் புனித நீராடல், பாவம் போக்கும் பரிசு!</b><br>Mass spiritual bathing festival celebrated in Kumbakonam’s Mahamaham tank, considered sacred like the Kumbh Mela.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJhBxpzSwn09W_hIa4jMXL0sccQvMHqZK28w&s"
Natyanjali Festival,Tamil Nadu,February,<b>நடனத்தினால் நாதனைத் தொழுது வாழ்வு!</b><br>Dance festival paying homage to Lord Nataraja through classical performances by Bharatanatyam artists in the Chidambaram temple.,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSd5lyyfTWjB7txsUYJkGt0Uk_HC48nz1B8gw&s"
Bastar Dussehra,PAN India,October,"<b>यहाँ दशहरा नहीं, आस्था का महासागर बहता है!</b><br>Unlike elsewhere, Bastar Dussehra honors local deities like Danteshwari Mata with 75-day-long tribal rituals, processions, and deep devotion.","https://utsav.gov.in/public/uploads/event_cover_image/event_159/16522031181062255431.jpg"
Goncha Festival,Chhattisgarh,July,"<b>धनुष-बाण से खेलें पर्व, प्रेम से मनाएं धर्म!</b><br>Tribals celebrate Lord Jagannath by mock-fighting with bamboo bows and fruit bullets, reflecting joy and brotherhood.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJDJpIF4A_krQnlsG6LQbiu86rWr_NOQTvaA&s"
Hareli Festival,Chhattisgarh,July,"<b>हल चलाओ, हरियाली लाओ!</b><br>Celebrated by farmers to honor nature and agriculture, tools are worshipped, and children play traditional games like 'Gedi' (bamboo stilts).","https://tripsntrippers.com/wp-content/uploads/2023/07/image-8.png"
Madai Festival,Chhattisgarh,December,"<b>मड़ई में उमड़ता है लोकजीवन का रंग!</b><br>A tribal fair where deities are taken out in processions; includes folk music, dance, and rituals that travel from village to village.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlNUd0vfs5Kv4mf5YFzugyuQjexY2b9-5FJw&s"
Champaran Mela,Chhattisgarh,January,"<b>वल्लभाचार्य की जन्मभूमि, भक्ति से सराबोर भूमि!</b><br>Celebrates the birth of Saint Vallabhacharya with bhajans, satsangs, and large religious gatherings at Champaran.","https://chhattisgarhtourism.co.in/destinations/champaran_mela.jpg"
Pola Festival,Chhattisgarh,August,"<b>बैल पूजन, खेतों की जान का अभिनंदन!</b><br>Festival where farmers worship their bulls, decorate them, and thank them for their role in farming, followed by races and feasts.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFHJqgmB8v5aYLGl9QNe47eDen1Rg9tc53vA&s"
Carnival,Goa,February,"<b>प्यारा गोवा, नाचो-गाओ, रंगों में खो जाओ!</b><br>Pre-Lenten festival with vibrant parades, music, dancing, and floats, where King Momo leads the festivities in a spirit of joy and indulgence.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJVwWPz19xpZiEg9chHPJjeC4bRm1EQWlheQ&s"
Sao Joao Festival,Goa,June,"<b>सांव जोआओ, कुओं में कूदो, खुशी में डूबो!</b><br>A monsoon festival honoring St. John the Baptist, where young men jump into wells and ponds wearing floral crowns in a joyful water celebration.","https://cdn.thegoavilla.com/static/img/articles/sao-jao-festival.jpg"
Bonderam Festival,Goa,August,"<b>झंडों की लड़ाई, प्यार की छांव!</b><br>Colorful festival commemorating historical land disputes on Divar Island with mock battles using flags, floats, music, and carnival spirit.","https://www.agoda.com/wp-content/uploads/2024/08/Featured-image-Bonderam-Festival.jpg"
Shigmo,Goa,March,"<b>शिगमो आई रे! ढोल-नगाड़ों की गूंज सुनाई दे!</b><br>Goa’s traditional spring festival celebrated with folk dances, vibrant processions, and colors, honoring warriors and nature's rebirth.","https://i2.wp.com/www.zingbus.com/blog/wp-content/uploads/2023/03/shigmo-festival-dance.jpg?ssl=1"
Feast of St. Francis Xavier,Goa,December,"<b>संत का पर्व, श्रद्धा की लहर!</b><br>Held at Basilica of Bom Jesus, this festival honors Goa's patron saint with mass prayers, pilgrimages, and a grand fair attracting thousands.","https://www.india-tours.com/images/festivals/feast-of-saint-francis-xavier/francis-xavier.jpg"
Chikhal Kalo,Goa,July,"<b>मिट्टी में मस्ती, भक्ति में शक्ति!</b><br>A unique mud festival where locals play games in wet soil, re-enacting Lord Krishna’s childhood while celebrating community bonding.","https://storage.googleapis.com/goa-app-12a91.appspot.com/2023-06-27T12%3A39%3A34.937Z293268613_378764527691370_4444780051503755366_n.jpg?GoogleAccessId=firebase-adminsdk-zeqcj%40goa-app-12a91.iam.gserviceaccount.com&Expires=16447017600&Signature=KX3HsA9tHyyc5nGIdPsEAikRQWmi5JY1tlWjd08U4Bgf117kTkQhex%2FevrZaXLIzXYaABLEpIvxUg4he2M7yoi9Ci0XxbyKnjgf72FK2ze%2FcyGRB%2BOAwo7b0%2FYBZ7KXh%2Fcyu1u85riFiHvaJbRFdSwCrgmO08SG7c95nWuSudQoytX7DfH3E9zwIwEXWhuBqBUdLZbVMWr4vdDzrEtbRIvOhnhzHUEL4IF39jIgzcirU4O8KmUZ49ZbZMTV6Ue%2BaidH6%2F9zPf7L5jRmD1bAznPY6FEzGsGevc9Rp47pkQ%2B1bw3DnXf2yGrKKII6BnHu4h%2BjwsfRUGur2nosDpsrEcg%3D%3D"
Zatra of Shantadurga,Goa,December,"<b>शांतादुर्गा आई, भक्तों की भीड़ लाई!</b><br>A grand temple fair celebrating Goddess Shantadurga with palanquins, traditional rituals, and devotional music in Goa’s Hindu temples.","https://utsav.gov.in/public/uploads/event_picture_image/event_3175/17362286251051105190.jpg"
Yaoshang,Manipur,March,"<b>रंगों में रमता मणिपुर, याओशांग लाए भक्ति और मस्ती!</b><br>Manipur’s version of Holi, celebrated with Thabal Chongba (moonlight dance), sports, and cultural programs over five days, blending joy and spirituality.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4p8JYeJfN5BNuvtvochP8O8hVJbGuOosEfw&s"
Lai Haraoba,Manipur,April,"<b>ईश्वरीय नृत्य, संस्कृति की पूजा!</b><br>Festival honoring traditional deities with ritual dances, music, and storytelling performed by Maibis (priestesses), showcasing creation myths of the Meiteis.","https://www.india-tours.com/images/festivals/lai-haraoba-festival/lai-haraoba1.jpg"
Ningol Chakouba,Manipur,October,"<b>बहनों के नाम दावत, भाईयों के दिल से प्यार!</b><br>A family reunion festival where married women are invited by their parents for a grand feast, celebrating the bond between brothers and sisters.","https://rnfvzaelmwbbvfbsppir.supabase.co/storage/v1/object/public/brhatwebsite/05dhiti/ningolchakouba/ningolchakouba5.webp"
Kang Festival,Manipur,July,"<b>कृष्ण की रथयात्रा, श्रद्धा और सजावट का संगम!</b><br>Rath Yatra celebrated by the Vaishnavite Meitei community, involving a nine-day procession of Lord Govindaji’s chariot with devotional songs and offerings.","https://www.indianholiday.com/wordpress/wp-content/uploads/2024/07/kang-festival-606.jpeg"
Cheiraoba,Manipur,April,"<b>नया साल, नई उम्मीदें, नई ऊँचाइयाँ!</b><br>Meitei New Year celebrated with cleaning homes, offering traditional dishes to deities, and symbolic hill-climbing to mark personal growth and renewal.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzWIq-r45Th26WNYwc41oeNSvkigl6yP8D2Q&s"
Heikru Hidongba,Manipur,September,"<b>नावों की रेस, आस्था की बूँदों में विश्वास!</b><br>A traditional boat race festival celebrated on a sacred moat with religious rituals, symbolizing unity and spiritual merit in the Meitei culture.","https://upload.wikimedia.org/wikipedia/commons/5/5e/%EA%AF%8D%EA%AF%A4%EA%AF%8C%EA%AF%A5%EA%AF%A1_%EA%AF%87%EA%AF%A5%EA%AF%9F%EA%AF%85%EA%AF%95%EA%AF%B2.jpg"
Kut Festival,Manipur,November,"<b>फसल की खुशी, जनजातीय रंगीनी!</b><br>A harvest festival celebrated by Kuki-Chin-Mizo tribes with folk dances, songs, traditional games, and community feasting in joy and gratitude.","https://static.toiimg.com/thumb/68218910/CK2ed.jpg?width=1200&height=900"
Shad Suk Mynsiem,Meghalaya,April,"<b>नृत्य है आराधना, परंपरा की आत्मा!</b><br>Khasi thanksgiving festival where men and women in traditional attire dance to drumbeats to honor ancestors and seasonal abundance.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiy8qt1vrFds13nSPMdLaYyB9s522t-fXHIA&s"
Wangala Festival,Meghalaya,November,"<b>बजाओ ड्रम, गाओ धन्यवाद!</b><br>Garo harvest festival where 100 drums (Nokma) are beaten in rhythm to please the Sun God, featuring dance, music, and food.","https://images.wanderon.in/blogs/new/2024/12/wangala-festival-in-meghalaya.jpg"
Behdeinkhlam Festival,Meghalaya,July,"<b>बीमारियों को बहाओ, समृद्धि को बुलाओ!</b><br>A Jaintia festival to ward off diseases with rituals, symbolic logs, dance, and traditional games for a prosperous community.","https://www.syllad.com/wp-content/uploads/2023/07/Behdeinkhlam-jpg.webp"
Chapchar Kut,Mizoram ,March,"<b>झूम की थकान, उत्सव की पहचान!</b><br>Spring festival after jungle clearing for farming; celebrated with bamboo dance (Cheraw), folk songs, and vibrant attire.","https://utsav.gov.in/public/uploads/event_cover_image/event_104/16494130491959272254.jpg"
Mim Kut,Mizoram ,August,"<b>मक्का की फसल, पूर्वजों की याद!</b><br>Harvest festival dedicated to ancestors, involving offerings of maize, wine, and songs to honor their spirits.","https://i0.wp.com/www.travelholidaysindia.com/wp-content/uploads/2024/08/Mim-Kut-Festival-Nagaland.jpg?fit=1000%2C563&ssl=1"
Pawl Kut,Mizoram ,December,"<b>अन्न की पूजा, उत्सव की माया!</b><br>Thanksgiving after rice harvest with family feasts, community dances, and children’s blessings—a vital cultural tradition.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVulE1YhWf-4s0f7GhUiBqfT9eKSovVbcqDg&s"
Hornbill Festival,Nagaland,December,"<b>नगा संस्कृति का रंगारंग संगम!</b><br>‘Festival of Festivals’ showcasing all Naga tribes with traditional games, dances, food, and crafts in a cultural extravaganza.","https://travespert.com/blogs/wp-content/uploads/sites/2/2023/04/Hornbill-Fest.webp"
Moatsu Festival,Nagaland,May,"<b>खेती के बाद मस्ती की बौछार!</b><br>Celebrated after sowing season with Ao Naga songs, dances, and brewing of traditional rice beer in joy and hope.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8VNocEqLXQSopbstIY1TYf2RplLZYp3S1Vg&s"
Sekrenyi Festival,Nagaland,February,"<b>शुद्धि का पर्व, परंपरा का गौरव!</b><br>Angami cleansing festival involving rituals of purification, feasts, and age-group activities marking moral and physical renewal.","https://utsav.gov.in/public/uploads/event_cover_image/event_1337/16641991241338158320.jpg"
Losar,Sikkim,February,"<b>नया साल, नई रौशनी!</b><br>Tibetan New Year celebrated with prayers, cham (masked) dances, and rituals in monasteries like Rumtek to usher prosperity and harmony.","https://images.rove.me/w_1920,q_85/gmf8lbofq1wdoir04jat/india-losar-festival.jpg"
Pang Lhabsol,Sikkim,September,"<b>कंचनजंघा की पूजा, भाईचारे की भावना!</b><br>Unique to Sikkim, this festival venerates Mt. Kanchenjunga and the guardian deities with warrior dances and communal prayers.","https://utsav.gov.in/public/uploads/event_picture_image/event_44/16491608681516340756.jpg"
Saga Dawa,Sikkim,May,"<b>ध्यान और दया का महोत्सव!</b><br>Celebrates birth, enlightenment, and death of Buddha with processions, butter lamps, and offerings in Buddhist monasteries.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5cbSEj-wEJFxnUxiPRAR8HAKTQfIjZA5YbA&s"
Kharchi Puja,Tripura,July,"<b>देवी-देवताओं की विशेष पूजा!</b><br>A major tribal Hindu festival where 14 deities are worshipped with rituals, followed by a week-long fair with cultural performances.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStvlgZAbTprFZOgZx6G3Y0yKzWAoKv8PHCCQ&s"
Garia Puja,Tripura,April,"<b>गेरिया देवता, फसल और खुशी लाओ!</b><br>A tribal festival to appease the deity of livestock and prosperity with songs, bamboo dance, and symbolic animal sacrifice.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHUM09Lb9DN_C7_huSH1ql__W7mSK8szttZQ&s"
Ker Puja,Tripura,August,"<b>नियम और निष्ठा से पूजन!</b><br>Conducted to protect the state from calamities, this highly disciplined festival restricts movement and activities for spiritual focus.","https://currentaffairs.adda247.com/wp-content/uploads/multisite/sites/5/2023/07/13104302/IMG-20180804-WA0021.jpg"
